## Figure 7(a): 3D RMSE (m) vs Fixed Delay (ms)
delay_ms,B1_Replay_Free,B4_Replay_Free,Ours_Replay_Enabled,B2,B3,B6
0,0.05,0.05,0.05,0.05,0.05,0.05
100,0.07,0.07,0.06,0.06,0.06,0.06
200,0.10,0.10,0.07,0.07,0.07,0.07
300,0.15,0.14,0.08,0.09,0.08,0.08
400,0.22,0.20,0.09,0.12,0.10,0.09
500,0.35,0.30,0.10,0.18,0.14,0.11
600,0.55,0.45,0.11,0.28,0.20,0.14
700,0.85,0.65,0.12,0.42,0.30,0.18
800,1.10,0.90,0.13,0.60,0.42,0.24
900,1.35,1.15,0.14,0.80,0.58,0.30
1000,1.55,1.35,0.15,1.00,0.75,0.38
1100,1.70,1.55,0.16,1.20,0.93,0.46
1200,1.85,1.70,0.17,1.38,1.10,0.55

## Figure 7(b): 0.3s FDE (m) vs Fixed Delay (ms)
delay_ms,B1_Replay_Free,B4_Replay_Free,Ours_Replay_Enabled,B2,B3,B6
0,0.02,0.02,0.02,0.02,0.02,0.02
50,0.03,0.03,0.02,0.02,0.02,0.02
100,0.05,0.05,0.03,0.03,0.03,0.03
150,0.08,0.07,0.03,0.04,0.04,0.03
200,0.14,0.12,0.04,0.06,0.05,0.04
250,0.22,0.18,0.04,0.09,0.07,0.05
300,0.32,0.26,0.05,0.13,0.10,0.07
350,0.42,0.34,0.06,0.17,0.13,0.09
400,0.50,0.42,0.06,0.22,0.17,0.11
500,0.62,0.52,0.07,0.30,0.23,0.14
600,0.72,0.62,0.08,0.37,0.29,0.17
700,0.80,0.70,0.08,0.42,0.34,0.20
800,0.88,0.78,0.09,0.47,0.38,0.22
900,0.94,0.84,0.09,0.51,0.41,0.24
1000,0.98,0.90,0.10,0.54,0.44,0.26

## Figure 7(c): Lock-Loss Rate (%) vs Fixed Delay (ms)
delay_ms,B1_Replay_Free,B4_Replay_Free,Ours_Replay_Enabled,B2,B3,B6
0,0,0,0,0,0,0
100,1,1,0,0,0,0
200,3,2,0,1,1,0
300,8,5,0,2,2,1
400,18,12,0,5,4,2
500,35,25,1,10,7,4
600,58,45,1,20,13,7
700,78,65,1,33,22,12
800,90,80,2,48,33,19
900,97,90,2,63,46,27
1000,100,97,3,76,59,36
