config,fixed_delay_ms,RMSE_3D_mean_m,RMSE_3D_sd_m,FDE_0p3s_mean_m,FDE_0p3s_sd_m,lock_loss_rate_pct
B1,0,1.8,0.3,0.9,0.2,0.0
B1,20,2.5,0.4,1.2,0.3,2.0
B1,50,4.8,0.7,2.3,0.5,18.0
B1,100,8.4,1.2,4.2,0.8,42.0
B1,200,22.0,3.5,11.0,2.0,71.0
B1,500,55.0,8.0,27.0,5.0,92.0
B1,800,70.0,10.0,35.0,7.0,97.0
B3,0,1.5,0.2,0.8,0.2,0.0
B3,20,2.1,0.3,1.0,0.2,1.0
B3,50,3.9,0.6,1.9,0.4,12.0
B3,100,6.2,0.9,3.5,0.6,32.0
B3,200,17.0,2.8,8.5,1.5,65.0
B3,500,52.0,7.5,26.0,4.5,87.0
B3,800,65.0,9.0,32.0,6.0,95.0
B4,0,1.4,0.2,0.7,0.2,0.0
B4,20,1.4,0.2,0.8,0.2,0.0
B4,50,1.6,0.3,1.0,0.2,0.0
B4,100,2.3,0.4,2.1,0.3,2.0
B4,200,3.1,0.5,2.7,0.4,3.0
B4,500,4.7,0.8,4.1,0.7,5.0
B4,800,7.2,1.1,6.2,0.9,9.0
B6,0,1.4,0.2,0.7,0.1,0.0
B6,20,1.4,0.2,0.7,0.2,0.0
B6,50,1.5,0.2,0.9,0.2,0.0
B6,100,2.2,0.3,2.0,0.3,1.0
B6,200,2.9,0.5,2.5,0.4,2.0
B6,500,4.5,0.7,3.8,0.6,3.0
B6,800,6.8,1.0,5.8,0.8,7.0
Ours,0,1.2,0.2,0.6,0.1,0.0
Ours,20,1.2,0.2,0.6,0.1,0.0
Ours,50,1.3,0.2,0.8,0.2,0.0
Ours,100,1.8,0.3,1.6,0.2,0.0
Ours,200,2.5,0.4,2.1,0.3,0.0
Ours,500,3.9,0.6,3.2,0.5,0.0
Ours,800,5.8,0.9,4.8,0.7,1.0
