scenario_id,scenario_name,primary_stress,range_band,trial_id,config,RMSE_3D_m,FDE_0p3s_m,lock_loss_binary,TFTL_s,cueing_success_binary,modality_switches,p99_tick_latency_ms,notes
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,1,B1,1.227,1.042,1,,,0,0.81,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,1,B3,1.583,1.157,1,,,0,1.193,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,1,B4,1.546,1.116,0,0.91,,0,2.333,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,1,B6,1.556,1.287,0,0.205,1,0,2.384,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,1,Ours,1.119,0.87,0,0.185,1,1,2.501,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,2,B1,2.219,1.695,1,,,0,0.806,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,2,B3,1.344,1.154,1,,,0,1.127,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,2,B4,0.961,0.709,0,0.967,,0,2.342,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,2,B6,1.136,0.907,0,0.201,1,0,2.346,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,2,Ours,1.348,1.039,0,0.189,1,2,2.51,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,3,B1,1.788,1.542,1,,,0,0.806,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,3,B3,1.228,0.951,1,,,0,1.171,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,3,B4,1.363,1.195,0,0.852,,0,2.293,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,3,B6,1.438,1.332,0,0.219,1,0,2.42,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,3,Ours,1.094,0.932,0,0.222,1,3,2.463,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,4,B1,1.779,1.466,1,,,0,0.802,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,4,B3,1.059,0.968,1,,,0,1.185,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,4,B4,1.126,0.885,0,0.918,,0,2.353,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,4,B6,1.587,1.318,0,0.19,1,0,2.417,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,4,Ours,1.375,1.227,0,0.18,1,3,2.54,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,5,B1,1.311,1.162,1,,,0,0.797,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,5,B3,1.7,1.307,0,,,0,1.213,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,5,B4,1.309,1.315,0,0.952,,0,2.251,
